2025-04-29 11:52:42 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rawdata\raw-sess02-trial002-TUK-WURD.csv to 1/Pluto/rawdata/raw-sess02-trial002-TUK-WURD.csv
2025-04-29 11:53:11 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rawdata\raw-sess02-trial003-HAT-WURD.csv to 1/Pluto/rawdata/raw-sess02-trial003-HAT-WURD.csv
2025-04-29 11:53:23 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rawdata\raw-sess03-trial001-HAT-WFE.csv to 1/Pluto/rawdata/raw-sess03-trial001-HAT-WFE.csv
2025-04-29 11:53:41 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rawdata\raw-sess03-trial002-HAT-WFE.csv to 1/Pluto/rawdata/raw-sess03-trial002-HAT-WFE.csv
2025-04-29 11:53:43 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rom\FPS-rom.csv to 1/Pluto/rom/FPS-rom.csv
2025-04-29 11:53:45 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rom\WFE-rom.csv to 1/Pluto/rom/WFE-rom.csv
2025-04-29 11:53:48 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rom\WURD-rom.csv to 1/Pluto/rom/WURD-rom.csv
2025-04-29 11:53:51 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\sessions\sessions.csv to 1/Pluto/sessions/sessions.csv
2025-04-29 11:53:51 - INFO - Upload process completed and status updated.
2025-04-29 11:53:51 - INFO - downloading configFile form aws s3
2025-04-29 11:53:55 - INFO - ConfigFile updated succesfully
2025-04-29 12:03:30 - INFO - Script started
2025-04-29 12:03:30 - INFO - Upload required. Starting upload process...
2025-04-29 12:03:39 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-11-50-14-application.log to 1/Pluto/applog/29-04-2025-11-50-14-application.log
2025-04-29 12:03:41 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-11-50-14-plutoaan.log to 1/Pluto/applog/29-04-2025-11-50-14-plutoaan.log
2025-04-29 12:03:45 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-11-50-14-plutocomm.log to 1/Pluto/applog/29-04-2025-11-50-14-plutocomm.log
2025-04-29 12:03:47 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-12-03-29-application.log to 1/Pluto/applog/29-04-2025-12-03-29-application.log
2025-04-29 12:03:49 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-12-03-29-plutoaan.log to 1/Pluto/applog/29-04-2025-12-03-29-plutoaan.log
2025-04-29 12:03:51 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\applog\29-04-2025-12-03-29-plutocomm.log to 1/Pluto/applog/29-04-2025-12-03-29-plutocomm.log
2025-04-29 12:04:03 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rawdata\raw-sess04-trial004-TUK-WURD.csv to 1/Pluto/rawdata/raw-sess04-trial004-TUK-WURD.csv
2025-04-29 12:04:13 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\rawdata\raw-sess04-trial005-HAT-WURD.csv to 1/Pluto/rawdata/raw-sess04-trial005-HAT-WURD.csv
2025-04-29 12:04:16 - INFO - Successfully uploaded: D:/mobbo1/PLUTO-HOMER/Assets/data\sessions\sessions.csv to 1/Pluto/sessions/sessions.csv
2025-04-29 12:04:16 - INFO - Upload process completed and status updated.
2025-04-29 12:04:16 - INFO - downloading configFile form aws s3
2025-04-29 12:04:18 - INFO - ConfigFile updated succesfully
